,epoch,train_loss,val_loss,train_acc,val_acc,train_balanced_acc,val_balanced_acc
0,1,0.11221829146861532,0.10518457259672088,0.12031763856581375,0.16270218839200762,0.06384046516087423,0.09874954649358926
1,2,0.1000647733996939,0.16660112446918965,0.1852089516323093,0.089755788138281,0.11590286432378212,0.0660209430020154
2,3,0.09184343223727828,0.10587584877861064,0.23814871260126735,0.18775769108785284,0.16518111923822315,0.12901872914210008
3,4,0.0839211367237412,0.09105161595185748,0.2869976738589877,0.2664129400570885,0.21197943244463038,0.19908571160810148
4,5,0.07701907798933545,0.08735115453246431,0.3335204941044357,0.27751347922613384,0.2575629298354265,0.23033814118776266
